salary salbegin jobtime prevexp educ  minority  sex
57000	27000	98	144	15	0	0
40200	18750	98	36	16	0	0
21450	12000	98	381	12	0	1
21900	13200	98	190	8	0	1
45000	21000	98	138	15	0	0
32100	13500	98	67	15	0	0
36000	18750	98	114	15	0	0
21900	9750	98	0	12	0	1
27900	12750	98	115	15	0	1
24000	13500	98	244	12	0	1
30300	16500	98	143	16	0	1
28350	12000	98	26	8	1	0
27750	14250	98	34	15	1	0
35100	16800	98	137	15	1	1
27300	13500	97	66	12	0	0
40800	15000	97	24	12	0	0
46000	14250	97	48	15	0	0
103750	27510	97	70	16	0	0
42300	14250	97	103	12	0	0
26250	11550	97	48	12	0	1
38850	15000	97	17	16	0	1
21750	12750	97	315	12	1	0
24000	11100	97	75	15	1	1
16950	9000	97	124	12	1	1
21150	9000	97	171	15	1	1
31050	12600	96	14	15	0	0
60375	27480	96	96	19	0	0
32550	14250	96	43	15	0	0
135000	79980	96	199	19	0	0
31200	14250	96	54	15	0	0
36150	14250	96	83	12	0	0
110625	45000	96	120	19	0	0
42000	15000	96	68	15	0	0
92000	39990	96	175	19	0	0
81250	30000	96	18	17	0	0
31350	11250	96	52	8	0	1
29100	13500	96	113	12	1	0
31350	15000	96	49	15	1	0
36000	15000	96	46	16	1	0
19200	9000	96	23	15	1	1
23550	11550	96	52	12	1	1
35100	16500	95	90	15	0	0
23250	14250	95	46	12	0	0
29250	14250	95	50	8	0	0
30750	13500	95	307	12	0	0
22350	12750	95	165	15	0	1
30000	16500	95	228	12	0	1
30750	14100	94	240	12	0	0
34800	16500	94	93	15	0	0
60000	23730	94	59	16	0	0
35550	15000	94	48	12	0	0
45150	15000	94	40	15	0	0
73750	26250	94	56	18	0	0
25050	13500	94	444	12	0	0
27000	15000	94	120	12	0	0
26850	13500	94	5	15	0	0
33900	15750	94	78	15	0	0
26400	13500	94	3	15	0	1
28050	14250	94	36	15	1	0
30900	15000	94	102	12	1	0
22500	9750	94	36	8	1	0
48000	21750	93	22	16	0	0
55000	26250	93	32	17	0	0
53125	21000	93	48	16	0	0
21900	14550	93	41	8	0	0
78125	30000	93	7	19	0	0
46000	21240	93	35	16	0	0
45250	21480	93	36	16	0	0
56550	25000	93	34	16	0	0
41100	20250	93	27	15	0	0
82500	34980	93	207	17	0	0
54000	18000	93	11	16	0	1
26400	10500	93	0	12	0	1
33900	19500	93	192	15	0	1
24150	11550	93	0	15	0	1
29250	11550	93	11	15	0	1
27600	11400	93	6	12	0	1
22950	10500	93	10	12	0	1
34800	14550	93	8	16	0	1
51000	18000	93	22	16	0	1
24300	10950	93	5	12	0	1
24750	14250	93	193	12	1	1
22950	11250	93	0	12	1	1
25050	10950	93	8	8	1	1
25950	17100	92	42	15	0	0
31650	15750	92	64	15	0	0
24150	14100	92	130	12	0	0
72500	28740	92	10	19	0	0
68750	27480	92	8	19	0	0
16200	9750	92	0	8	0	1
20100	11250	92	24	12	0	1
24000	10950	92	6	8	0	1
25950	10950	92	0	12	0	1
24600	10050	92	44	12	0	1
28500	10500	92	6	12	0	1
30750	15000	92	432	8	1	0
40200	19500	92	168	17	1	0
30000	15000	92	144	8	1	0
22050	10950	92	5	12	1	1
78250	27480	91	47	18	0	0
60625	22500	91	44	16	0	0
39900	15750	91	59	14	0	0
97000	35010	91	68	19	0	0
27450	15750	91	48	15	0	0
31650	13500	91	18	15	0	0
91250	29490	91	23	19	0	0
25200	14400	91	83	12	0	1
21000	11550	91	108	12	0	1
30450	15000	91	49	12	1	0
28350	18000	91	151	15	1	0
30750	9000	91	314	12	1	0
30750	15000	91	240	12	1	0
54875	27480	90	68	16	0	0
37800	16500	90	60	14	0	0
33450	14100	90	85	15	0	0
30300	16500	90	16	15	0	0
31500	18750	90	205	12	0	1
31650	14250	90	48	12	0	1
25200	14100	90	55	12	0	1
37800	15750	90	7	16	0	1
18750	10500	90	54	15	0	1
32550	13500	90	22	15	0	1
33300	15000	90	3	12	0	1
38550	16500	90	0	16	0	1
27450	15000	90	173	12	1	0
24300	15000	90	191	15	1	0
30750	15000	90	209	12	1	0
